HS CODE,PRODUCT DESCRIPTION,CONSIGNEE,CONSIGNEE ADDRESS,COUNTRY OF ORIGIN,ARRIVAL DATE,QUANTITY,UNIT,UNIT PRICE IN USD,CURRENCY,PRICE IN INR,TOTAL PRICE IN INR,INDIAN PORT,TRANSPORTATION TYPE,BILL OF LADING
39151000,PLASTIC POLYETHYLENE FILM IN BALES NON HAZARDOUS,SATGURU POLYFAB PVT LTD, ,United States,2022-02-02,17,MTS,550.47,USD,41450.1,704651.68,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILM IN BALES NON HAZARDOUS,SATGURU POLYFAB PVT LTD, ,United States,2022-02-02,52,MTS,574.54,USD,43263.08,2249679.92,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE SCRAP NON HAZARDOUS,POLYREC PROCESSORS PVT LTD, ,United States,2022-02-02,34600,KGS,0.58,USD,43.57,1507545.02,Kandla-EPZ/SEZ, , 
39151000,01X40'CONTAINER STC:PLASTIC POLYETHYLENE FILM-LUMPS FOR RECYCLING NON HAZARDOUS,RENEW PLASTICS, ,United States,2022-02-01,19,MTS,699.45,USD,52668.76,1000706.44,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE-SCRAP NON HAZARDOUS,PRASAR ENTERPRISES, ,United States,2022-02-01,18,MTS,603.45,USD,45439.49,817910.9,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE-SCRAP NON HAZARDOUS,PRASAR ENTERPRISES, ,United States,2022-02-01,39,MTS,604.3,USD,45503.43,1774633.96,Kandla-EPZ/SEZ, , 
39151000,01X40'CONTAINER STC:PLASTIC POLYETHYLENE WASTE-SCRAP NON HAZARDOUS,RENEW PLASTICS, ,United States,2022-02-01,18,MTS,511.91,USD,38547.01,693846.2,Kandla-EPZ/SEZ, , 
39151000,KY1 AVN PANEL FILM,DMC AUTOMOTIVE PRIVATE LIMITED, ,South Korea,2021-11-24,1000,PCS,0.73,USD,54.95,54946.16,Madras Air,AIR,6386560
39151000,KY1 D2V PANEL FILM,DMC AUTOMOTIVE PRIVATE LIMITED, ,South Korea,2021-11-24,2000,PCS,0.73,USD,54.95,109892.33,Madras Air,AIR,6386560
39151000,PLASTIC WASTE/SCRAP (NON TOXIC / NON HAZARDOUS) -,"AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-06-15,16928,KGS,0.4,USD,27.84,476015.36,ICD TUMB, ,3670801
39151000,PLASTIC WASTE/SCRAP ( NON TOXIC /NON HAZARDOUS) -,"AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-05-23,72376,KGS,0,USD,22.72,1644148.78,ICD TUMB, ,3354462
39151000,PLASTIC WASTE/SCRAP (NON TOXIC / NON HAZARDOUS)(CIPET TR NO: - CIPET/AURANGABAD/TEST REPORT/WO-2152/2018-19/2321/4442 DT.12,"AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-05-03,18652,KGS,0,USD,28.5,531526.51,ICD TUMB, ,3092788
